depth_threshold,avg_query_time(microseconds),avg_depth,splay_count
0,5.040049,23.073890,100000
1,4.982927,23.073890,100000
2,5.084625,23.072940,100000
3,4.955502,23.069860,100000
4,5.285446,23.059310,100000
5,5.127072,23.074420,100000
6,4.981567,23.065380,100000
7,5.053122,23.071600,100000
8,5.114465,23.066640,99996
9,5.307089,23.076310,99976
10,5.169079,23.065230,99933
11,5.201645,23.053160,99811
12,4.995974,23.038900,99563
13,5.030466,23.017030,99081
14,5.176478,22.965040,98179
15,5.029182,22.895100,96714
16,5.015936,22.803650,94519
17,5.071768,22.665560,91033
18,5.006152,22.472360,86078
19,5.053872,22.234580,79374
20,4.945876,21.941810,70406
21,5.019328,21.605580,59230
22,4.940874,21.210140,46053
23,4.920491,20.803200,31756
24,4.872530,20.388260,18379
25,4.870638,20.022600,8414
26,4.868845,19.833890,3451
27,4.751358,19.836700,1664
28,4.800858,19.860950,752
29,4.804504,19.962910,380
30,4.864950,20.054880,177
31,4.840304,20.219870,97
32,5.044440,20.390270,57
33,4.835447,20.393510,15
34,4.882074,20.729720,10
35,4.972904,20.744930,9
36,4.886790,21.447950,7
37,4.912805,21.401410,6
38,4.870354,21.516730,0
39,4.935001,21.516730,0
40,4.829659,21.516730,0
41,4.906928,21.516730,0
42,4.873812,21.516730,0
43,4.783088,21.516730,0
44,4.835835,21.516730,0
45,4.827836,21.516730,0
46,4.817558,21.516730,0
47,4.856708,21.516730,0
48,4.934777,21.516730,0
49,4.898009,21.516730,0
50,4.943934,21.516730,0
51,4.816714,21.516730,0
52,4.891990,21.516730,0
53,4.821467,21.516730,0
54,4.906996,21.516730,0
55,4.986446,21.516730,0
56,4.961268,21.516730,0
57,4.961448,21.516730,0
58,4.849888,21.516730,0
59,4.844907,21.516730,0
60,4.815745,21.516730,0
61,4.877351,21.516730,0
62,4.920967,21.516730,0
63,4.836058,21.516730,0
64,4.869752,21.516730,0
65,4.817878,21.516730,0
66,4.841355,21.516730,0
67,4.821973,21.516730,0
68,4.928253,21.516730,0
69,4.975536,21.516730,0
70,4.969111,21.516730,0
71,4.873626,21.516730,0
72,4.925826,21.516730,0
73,4.911792,21.516730,0
74,4.839264,21.516730,0
75,4.832841,21.516730,0
76,4.836087,21.516730,0
77,4.890888,21.516730,0
78,4.959572,21.516730,0
79,4.872411,21.516730,0
80,4.953182,21.516730,0
81,4.853840,21.516730,0
82,4.901723,21.516730,0
83,4.973446,21.516730,0
84,4.981067,21.516730,0
85,4.921653,21.516730,0
86,4.840755,21.516730,0
87,4.790652,21.516730,0
88,4.822179,21.516730,0
89,4.870440,21.516730,0
90,4.901669,21.516730,0
91,5.026218,21.516730,0
92,4.863795,21.516730,0
93,4.810671,21.516730,0
94,4.970391,21.516730,0
95,4.788303,21.516730,0
96,5.000044,21.516730,0
97,4.903960,21.516730,0
98,4.950593,21.516730,0
99,5.046521,21.516730,0
100,5.085428,21.516730,0
101,5.089666,21.516730,0
102,5.063787,21.516730,0
103,4.847879,21.516730,0
104,4.848027,21.516730,0
105,4.875063,21.516730,0
106,4.746345,21.516730,0
107,4.917763,21.516730,0
108,4.748128,21.516730,0
109,4.906765,21.516730,0
110,4.843579,21.516730,0
111,4.912469,21.516730,0
112,4.984028,21.516730,0
113,4.958381,21.516730,0
114,4.825397,21.516730,0
115,4.813316,21.516730,0
116,4.857003,21.516730,0
117,4.817863,21.516730,0
118,4.898315,21.516730,0
119,4.785638,21.516730,0
120,4.861469,21.516730,0
121,4.866096,21.516730,0
122,4.874777,21.516730,0
123,4.874238,21.516730,0
124,4.953431,21.516730,0
125,4.956592,21.516730,0
126,4.949714,21.516730,0
127,4.895762,21.516730,0
128,4.876016,21.516730,0
129,4.855000,21.516730,0
130,4.872511,21.516730,0
131,4.847500,21.516730,0
132,4.872806,21.516730,0
133,4.796091,21.516730,0
134,4.900876,21.516730,0
135,4.774818,21.516730,0
136,5.016990,21.516730,0
137,5.033937,21.516730,0
138,4.859619,21.516730,0
139,4.755816,21.516730,0
140,4.904417,21.516730,0
141,4.792114,21.516730,0
142,4.868678,21.516730,0
143,4.979655,21.516730,0
144,4.860003,21.516730,0
145,4.862197,21.516730,0
146,5.009259,21.516730,0
147,4.780572,21.516730,0
148,4.767655,21.516730,0
149,4.853239,21.516730,0
150,4.797283,21.516730,0
151,4.922219,21.516730,0
152,4.728761,21.516730,0
153,4.813778,21.516730,0
154,4.826950,21.516730,0
155,4.761826,21.516730,0
156,4.951111,21.516730,0
157,4.768893,21.516730,0
158,4.778844,21.516730,0
159,4.878393,21.516730,0
160,4.774933,21.516730,0
161,4.779624,21.516730,0
162,4.816334,21.516730,0
163,4.816842,21.516730,0
164,4.900682,21.516730,0
165,4.945446,21.516730,0
166,4.754344,21.516730,0
167,4.870997,21.516730,0
168,4.964086,21.516730,0
169,4.983007,21.516730,0
170,5.030469,21.516730,0
171,5.027364,21.516730,0
172,4.843088,21.516730,0
173,4.899693,21.516730,0
174,4.789204,21.516730,0
175,4.852260,21.516730,0
176,4.942475,21.516730,0
177,4.912626,21.516730,0
178,4.999788,21.516730,0
179,4.876209,21.516730,0
180,5.059882,21.516730,0
181,4.980730,21.516730,0
182,5.108989,21.516730,0
183,5.077226,21.516730,0
184,5.007196,21.516730,0
185,4.918478,21.516730,0
186,4.984770,21.516730,0
187,5.054533,21.516730,0
188,5.034218,21.516730,0
189,4.980446,21.516730,0
190,4.946604,21.516730,0
191,5.041146,21.516730,0
192,4.753852,21.516730,0
193,4.878981,21.516730,0
194,4.802487,21.516730,0
195,4.901090,21.516730,0
196,4.919277,21.516730,0
197,4.945410,21.516730,0
