TreeSize,PBDS,DepthAwareSplayTree
1.000000,0.043608,0.029105
2.000000,0.052368,0.049429
4.000000,0.072046,0.059491
8.000000,0.092860,0.062566
16.000000,0.099190,0.035253
32.000000,0.116145,0.039261
64.000000,0.135483,0.047644
128.000000,0.153862,0.053992
256.000000,0.176620,0.062014
512.000000,0.201174,0.082842
1024.000000,0.226617,0.105387
2048.000000,0.251516,0.130168
4096.000000,0.282759,0.152562
8192.000000,0.327032,0.207456
16384.000000,0.373712,0.234089
32768.000000,0.438286,0.299268
65536.000000,0.603423,0.483032
131072.000000,0.935783,0.801122
262144.000000,1.182744,1.086227
524288.000000,1.266712,1.215970
1048576.000000,1.306712,1.236496
