TreeSize,PBDS,DepthAwareSplayTree
1.000000,0.083391,0.032630
2.000000,0.103329,0.051410
4.000000,0.123842,0.059501
8.000000,0.144519,0.088170
16.000000,0.167237,0.030992
32.000000,0.200322,0.032342
64.000000,0.229135,0.035644
128.000000,0.265618,0.039698
256.000000,0.290589,0.043858
512.000000,0.332737,0.059867
1024.000000,0.357906,0.079526
2048.000000,0.402483,0.115924
4096.000000,0.440491,0.128396
8192.000000,0.473973,0.190364
16384.000000,0.521001,0.210976
32768.000000,0.633543,0.329719
65536.000000,0.831352,0.534129
131072.000000,1.093585,0.780958
262144.000000,1.232210,0.989876
524288.000000,1.298220,1.131883
1048576.000000,1.347537,1.183998
